model,k,precision@5,recall@5,ndcg@5,hit_rate@5,n_users,precision@10,recall@10,ndcg@10,hit_rate@10,precision@20,recall@20,ndcg@20,hit_rate@20
Random,5,0.07116501537410318,0.013144606445309459,0.07192174682115117,0.28721102380138935,17562,,,,,,,,
Random,10,,,,,17562,0.06889875868352124,0.025266228470273808,0.0693481552195303,0.44704475572258284,,,,
Random,20,,,,,17562,,,,,0.06891014690809705,0.0501586303761671,0.07310938915202903,0.6318756405876323
Popularity,5,0.2297802072656873,0.03975340146731907,0.2342427884239563,0.5445848992142125,17562,,,,,,,,
Popularity,10,,,,,17562,0.2035075731693429,0.07244535285157286,0.21705082116534996,0.6942261701400751,,,,
Popularity,20,,,,,17562,,,,,0.17103120373533767,0.12281743270161789,0.19981864481382058,0.8197813460881449
