model,k,precision@5,recall@5,ndcg@5,hit_rate@5,n_users,precision@10,recall@10,ndcg@10,hit_rate@10,precision@20,recall@20,ndcg@20,hit_rate@20
Random,5,0.0026306798770071747,0.0004247788091156871,0.0027097207887392203,0.01309645826215693,17562,,,,,,,,
Random,10,,,,,17562,0.0024883270698098166,0.000771549576353337,0.002492455565815238,0.024484682837945564,,,,
Random,20,,,,,17562,,,,,0.0025794328664161255,0.0016032100887639741,0.002696171564334117,0.04902630679877007
Popularity,5,6.83293474547318e-05,6.167257056057549e-05,0.00011472857717403283,0.0002847056143947159,17562,,,,,,,,
Popularity,10,,,,,17562,3.41646737273659e-05,6.167257056057549e-05,9.44412266290728e-05,0.0002847056143947159,,,,
Popularity,20,,,,,17562,,,,,0.00027047033367498015,0.00043564616880639316,0.00031601891933802183,0.005295524427741715
